name	size	S_Pop	Pi_Pop	W_Pop	D_Pop	GC
Oryza_glaberrima_pi.10.1600001.1700000.fasta	55628	716	186.039	159.85	0.598203	0.392841
Oryza_glaberrima_pi.10.16100001.16200000.fasta	92356	521	160.4	116.315	1.38155	0.419437
Oryza_glaberrima_pi.10.16200001.16300000.fasta	65511	361	103.188	80.5947	1.01909	0.41162
Oryza_glaberrima_pi.10.16300001.16400000.fasta	73019	850	276.8	189.766	1.67578	0.400492
Oryza_glaberrima_pi.10.16400001.16500000.fasta	54581	425	134.997	94.8829	1.53894	0.418289
Oryza_glaberrima_pi.10.16500001.16600000.fasta	58776	477	132.669	106.492	0.89552	0.418259
Oryza_glaberrima_pi.10.16600001.16700000.fasta	80168	823	176.355	183.738	-0.146789	0.409508
Oryza_glaberrima_pi.10.16700001.16800000.fasta	90743	511	151.674	114.083	1.20097	0.403802
Oryza_glaberrima_pi.10.16800001.16900000.fasta	87172	679	177.215	151.589	0.617082	0.445726
Oryza_glaberrima_pi.10.16900001.17000000.fasta	21783	177	41.3771	39.5159	0.169677	0.449605
Oryza_glaberrima_pi.10.17000001.17100000.fasta	61775	548	83.9375	122.343	-1.14462	0.431014
Oryza_glaberrima_pi.10.1700001.1800000.fasta	79330	688	97.085	153.599	-1.34315	0.424058
Oryza_glaberrima_pi.10.17100001.17200000.fasta	87638	944	268.279	210.752	0.997719	0.449315
Oryza_glaberrima_pi.10.17200001.17300000.fasta	83146	934	197.144	208.519	-0.199386	0.439382
Oryza_glaberrima_pi.10.17300001.17400000.fasta	51472	924	237.284	206.287	0.549204	0.447556
Oryza_glaberrima_pi.10.17400001.17500000.fasta	82178	356	52.2486	79.4784	-1.24532	0.406511
Oryza_glaberrima_pi.10.17500001.17600000.fasta	94966	919	115.403	205.17	-1.59907	0.409644
Oryza_glaberrima_pi.10.17600001.17700000.fasta	79669	696	200.987	155.385	1.07142	0.447327
Oryza_glaberrima_pi.10.17700001.17800000.fasta	94149	297	31.4832	66.3064	-1.90561	0.406596
Oryza_glaberrima_pi.10.17800001.17900000.fasta	95480	481	53.7504	107.385	-1.81968	0.385173
Oryza_glaberrima_pi.10.17900001.18000000.fasta	95820	588	147.328	131.273	0.446123	0.402125
Oryza_glaberrima_pi.10.18000001.18100000.fasta	95168	462	90.8959	103.143	-0.432492	0.40404
Oryza_glaberrima_pi.10.1800001.1900000.fasta	88096	1868	237.977	417.038	-1.57204	0.435118
Oryza_glaberrima_pi.10.18100001.18200000.fasta	81932	942	259.603	210.305	0.856799	0.447571
Oryza_glaberrima_pi.10.18200001.18300000.fasta	91752	466	131.77	104.036	0.971014	0.444674
Oryza_glaberrima_pi.10.18300001.18400000.fasta	97616	251	54.3506	56.0367	-0.108964	0.427189
Oryza_glaberrima_pi.10.18400001.18500000.fasta	90544	762	223.726	170.119	1.15086	0.4369
Oryza_glaberrima_pi.10.18500001.18600000.fasta	95260	421	95.4048	93.9899	0.054794	0.40986
Oryza_glaberrima_pi.10.18600001.18700000.fasta	72462	420	92.1905	93.7666	-0.0611796	0.439762
Oryza_glaberrima_pi.10.18700001.18800000.fasta	92035	592	141.41	132.166	0.255141	0.411997
Oryza_glaberrima_pi.10.18800001.18900000.fasta	92504	840	302.469	187.533	2.23925	0.42816
Oryza_glaberrima_pi.10.18900001.19000000.fasta	74323	589	166.139	131.497	0.960979	0.417869
Oryza_glaberrima_pi.10.19000001.19100000.fasta	95111	467	93.4417	104.26	-0.377947	0.430166
Oryza_glaberrima_pi.10.1900001.2000000.fasta	65115	1421	310.274	317.244	-0.0803998	0.423046
Oryza_glaberrima_pi.10.19100001.19200000.fasta	89063	390	107.769	87.069	0.864816	0.43445
Oryza_glaberrima_pi.10.19200001.19300000.fasta	94323	397	77.6091	88.6318	-0.452465	0.413348
Oryza_glaberrima_pi.10.19300001.19400000.fasta	77391	523	115.999	116.762	-0.0238256	0.409473
Oryza_glaberrima_pi.10.19400001.19500000.fasta	73709	538	122.301	120.111	0.0664814	0.423706
Oryza_glaberrima_pi.10.19500001.19600000.fasta	88194	693	206.704	154.715	1.22674	0.419784
Oryza_glaberrima_pi.10.19600001.19700000.fasta	91256	541	126.118	120.78	0.161132	0.431449
Oryza_glaberrima_pi.10.19700001.19800000.fasta	89678	324	59.4165	72.3343	-0.648554	0.408693
Oryza_glaberrima_pi.10.19800001.19900000.fasta	62715	371	69.1701	82.8272	-0.599554	0.498219
Oryza_glaberrima_pi.10.19900001.20000000.fasta	96876	437	69.1684	97.5619	-1.0596	0.421246
Oryza_glaberrima_pi.10.20000001.20100000.fasta	82782	493	166.092	110.064	1.8549	0.436794
Oryza_glaberrima_pi.10.2000001.2100000.fasta	70192	998	267.561	222.807	0.734324	0.414362
Oryza_glaberrima_pi.10.200001.300000.fasta	77745	1851	323.753	413.243	-0.792869	0.414722
Oryza_glaberrima_pi.10.20100001.20200000.fasta	88405	548	151.775	122.343	0.87716	0.443206
Oryza_glaberrima_pi.10.20200001.20300000.fasta	81275	442	96.3649	98.6782	-0.0853599	0.435778
Oryza_glaberrima_pi.10.20300001.20400000.fasta	81686	462	96.874	103.143	-0.221387	0.442397
Oryza_glaberrima_pi.10.20400001.20500000.fasta	62486	247	54.7678	55.1437	-0.0246786	0.442062
Oryza_glaberrima_pi.10.20500001.20600000.fasta	62691	777	192.65	173.468	0.403878	0.47415
Oryza_glaberrima_pi.10.20600001.20700000.fasta	95635	619	177.263	138.194	1.03152	0.461862
Oryza_glaberrima_pi.10.20700001.20800000.fasta	94128	361	96.2595	80.5947	0.706576	0.449159
Oryza_glaberrima_pi.10.20800001.20900000.fasta	97009	482	89.4994	107.608	-0.613121	0.440029
Oryza_glaberrima_pi.10.20900001.21000000.fasta	79491	270	46.9789	60.2785	-0.799714	0.445311
Oryza_glaberrima_pi.10.21000001.21100000.fasta	88863	340	50.4155	75.9063	-1.22014	0.450073
Oryza_glaberrima_pi.10.2100001.2200000.fasta	79795	966	125.179	215.663	-1.5337	0.404324
Oryza_glaberrima_pi.10.21100001.21200000.fasta	90863	629	144.247	140.427	0.0992575	0.419476
Oryza_glaberrima_pi.10.21200001.21300000.fasta	90386	615	142.382	137.301	0.135028	0.42643
Oryza_glaberrima_pi.10.21300001.21400000.fasta	97850	628	156.788	140.203	0.431624	0.427363
Oryza_glaberrima_pi.10.21400001.21500000.fasta	86404	490	90.9177	109.394	-0.615423	0.420303
Oryza_glaberrima_pi.10.21500001.21600000.fasta	83395	842	245.777	187.98	1.12337	0.415918
Oryza_glaberrima_pi.10.21600001.21700000.fasta	91078	469	138.86	104.706	1.18818	0.444109
Oryza_glaberrima_pi.10.21700001.21800000.fasta	92262	339	63.4544	75.6831	-0.587048	0.429146
Oryza_glaberrima_pi.10.21800001.21900000.fasta	93084	444	90.3914	99.1247	-0.320814	0.43271
Oryza_glaberrima_pi.10.21900001.22000000.fasta	79272	828	262.443	184.854	1.53346	0.449018
Oryza_glaberrima_pi.10.22000001.22100000.fasta	89063	1075	211.723	239.998	-0.430802	0.429217
Oryza_glaberrima_pi.10.2200001.2300000.fasta	85406	903	129.818	201.598	-1.30125	0.395886
Oryza_glaberrima_pi.10.22100001.22200000.fasta	95481	517	114.585	115.422	-0.0264322	0.444129
Oryza_glaberrima_pi.10.22200001.22300000.fasta	95982	395	67.0899	88.1853	-0.870279	0.430201
Oryza_glaberrima_pi.10.22300001.22400000.fasta	91401	291	55.2375	64.9669	-0.543269	0.407452
Oryza_glaberrima_pi.10.22400001.22500000.fasta	87313	560	140.424	125.022	0.449251	0.435179
Oryza_glaberrima_pi.10.22500001.22600000.fasta	82970	847	196.21	189.096	0.137462	0.432648
Oryza_glaberrima_pi.10.22600001.22700000.fasta	72476	747	276.83	166.771	2.41005	0.425265
Oryza_glaberrima_pi.10.22700001.22800000.fasta	84283	532	144.734	118.771	0.79691	0.422618
Oryza_glaberrima_pi.10.22800001.22900000.fasta	78394	401	93.3281	89.5248	0.154573	0.432499
Oryza_glaberrima_pi.10.22900001.23000000.fasta	84022	438	92.1304	97.7852	-0.210549	0.441156
Oryza_glaberrima_pi.10.23000001.23100000.fasta	93291	307	64.9737	68.5389	-0.188809	0.431299
Oryza_glaberrima_pi.10.2300001.2400000.fasta	83322	1534	380.044	342.471	0.40153	0.430291
Oryza_glaberrima_pi.10.23100001.23200000.fasta	80305	535	135.354	119.441	0.485735	0.449909
Oryza_glaberrima_pi.10.2400001.2500000.fasta	83993	1096	272.877	244.686	0.421309	0.424387
Oryza_glaberrima_pi.10.2500001.2600000.fasta	57768	701	213.511	156.501	1.32995	0.417462
Oryza_glaberrima_pi.10.2600001.2700000.fasta	55043	1300	341.472	290.23	0.645942	0.425118
Oryza_glaberrima_pi.10.2700001.2800000.fasta	70771	1034	203.489	230.845	-0.433267	0.414684
Oryza_glaberrima_pi.10.2800001.2900000.fasta	91842	1041	287.607	232.407	0.868422	0.424277
Oryza_glaberrima_pi.10.2900001.3000000.fasta	77255	802	199.524	179.05	0.417715	0.422423
Oryza_glaberrima_pi.10.3000001.3100000.fasta	73146	809	158.114	180.612	-0.455059	0.401416
Oryza_glaberrima_pi.10.300001.400000.fasta	89933	2259	382.736	504.331	-0.88301	0.399609
Oryza_glaberrima_pi.10.3100001.3200000.fasta	59595	689	84.7997	153.822	-1.63807	0.431454
Oryza_glaberrima_pi.10.3200001.3300000.fasta	10595	52	7.86329	11.6092	-1.1162	0.442927
Oryza_glaberrima_pi.10.3300001.3400000.fasta	37392	457	127.291	102.027	0.90185	0.460107
Oryza_glaberrima_pi.10.3400001.3500000.fasta	79199	508	67.3055	113.413	-1.48168	0.401431
Oryza_glaberrima_pi.10.3500001.3600000.fasta	78256	575	140.312	128.371	0.339274	0.42464
Oryza_glaberrima_pi.10.3600001.3700000.fasta	94406	870	192.478	194.231	-0.0329717	0.413523
Oryza_glaberrima_pi.10.3700001.3800000.fasta	86123	1510	341.441	337.113	0.0469876	0.426247
Oryza_glaberrima_pi.10.3800001.3900000.fasta	59937	683	125.802	152.482	-0.638731	0.401068
Oryza_glaberrima_pi.10.3900001.4000000.fasta	67905	319	58.6	71.218	-0.643337	0.420636
Oryza_glaberrima_pi.10.4000001.4100000.fasta	67800	654	65.2566	146.008	-2.0185	0.407288
Oryza_glaberrima_pi.10.400001.500000.fasta	86130	2770	546.414	618.413	-0.426511	0.415403
Oryza_glaberrima_pi.10.4100001.4200000.fasta	7134	83	16.4947	18.5301	-0.388065	0.528543
Oryza_glaberrima_pi.10.4200001.4300000.fasta	70109	573	91.7256	127.924	-1.03204	0.43855
Oryza_glaberrima_pi.10.4300001.4400000.fasta	75039	1420	225.717	317.021	-1.05391	0.426649
Oryza_glaberrima_pi.10.4400001.4500000.fasta	60237	1020	201.305	227.719	-0.424078	0.420971
Oryza_glaberrima_pi.10.4500001.4600000.fasta	48148	816	229.343	182.175	0.94588	0.390814
Oryza_glaberrima_pi.10.4600001.4700000.fasta	84406	724	131.796	161.636	-0.674099	0.423387
Oryza_glaberrima_pi.10.4700001.4800000.fasta	78206	751	113.354	167.664	-1.18295	0.431905
Oryza_glaberrima_pi.10.4800001.4900000.fasta	58562	856	205.055	191.105	0.266709	0.433383
Oryza_glaberrima_pi.10.4900001.5000000.fasta	55304	457	108.5	102.027	0.231075	0.413138
Oryza_glaberrima_pi.10.5000001.5100000.fasta	31317	371	88.7876	82.8272	0.261665	0.395165
Oryza_glaberrima_pi.10.500001.600000.fasta	84871	2678	708.791	597.874	0.6796	0.434829
Oryza_glaberrima_pi.10.5100001.5200000.fasta	18157	89	15.6822	19.8696	-0.746356	0.419287
Oryza_glaberrima_pi.10.5200001.5300000.fasta	33892	384	113.162	85.7295	1.16388	0.417271
Oryza_glaberrima_pi.10.5300001.5400000.fasta	63781	479	87.9922	106.939	-0.645466	0.40359
Oryza_glaberrima_pi.10.5400001.5500000.fasta	65955	515	114.692	114.976	-0.00898982	0.414189
Oryza_glaberrima_pi.10.5500001.5600000.fasta	75536	729	170.11	162.752	0.165085	0.399948
Oryza_glaberrima_pi.10.5600001.5700000.fasta	93207	967	232.115	215.887	0.274794	0.433035
Oryza_glaberrima_pi.10.5700001.5800000.fasta	70208	497	88.0875	110.957	-0.751086	0.411097
Oryza_glaberrima_pi.10.5800001.5900000.fasta	56086	780	169.376	174.138	-0.0998917	0.415045
Oryza_glaberrima_pi.10.5900001.6000000.fasta	39018	596	148.921	133.059	0.434871	0.412437
Oryza_glaberrima_pi.10.6000001.6100000.fasta	53809	407	61.8002	90.8643	-1.16395	0.428993
Oryza_glaberrima_pi.10.600001.700000.fasta	79850	2548	559.307	568.851	-0.0614577	0.414295
Oryza_glaberrima_pi.10.6100001.6200000.fasta	77701	1757	363.589	392.257	-0.267556	0.405699
Oryza_glaberrima_pi.10.6200001.6300000.fasta	65505	846	202.141	188.873	0.256676	0.418378
Oryza_glaberrima_pi.10.6300001.6400000.fasta	48557	487	107.428	108.725	-0.0434545	0.404519
Oryza_glaberrima_pi.10.6400001.6500000.fasta	35010	312	77.3071	69.6552	0.398803	0.421394
Oryza_glaberrima_pi.10.6500001.6600000.fasta	76166	906	224.781	202.268	0.406772	0.411424
Oryza_glaberrima_pi.10.6600001.6700000.fasta	60467	929	260.433	207.403	0.934527	0.436523
Oryza_glaberrima_pi.10.6700001.6800000.fasta	53551	583	138.726	130.157	0.240148	0.433837
Oryza_glaberrima_pi.10.6800001.6900000.fasta	53571	377	82.4845	84.1667	-0.0726853	0.402077
Oryza_glaberrima_pi.10.6900001.7000000.fasta	48796	707	154.393	157.84	-0.0797422	0.393016
Oryza_glaberrima_pi.10.7000001.7100000.fasta	26020	400	82.2132	89.3016	-0.2888	0.411358
Oryza_glaberrima_pi.10.700001.800000.fasta	83097	2776	574.089	619.753	-0.269919	0.394169
Oryza_glaberrima_pi.10.7100001.7200000.fasta	27938	880	249.807	196.463	0.99221	0.475553
Oryza_glaberrima_pi.10.7200001.7300000.fasta	58646	930	193.324	207.626	-0.251776	0.431202
Oryza_glaberrima_pi.10.7300001.7400000.fasta	72163	1281	324.641	285.988	0.494461	0.4112
Oryza_glaberrima_pi.10.7400001.7500000.fasta	87631	985	218.23	219.905	-0.0278436	0.416242
Oryza_glaberrima_pi.10.7500001.7600000.fasta	96459	778	161.961	173.692	-0.246686	0.416599
Oryza_glaberrima_pi.10.7600001.7700000.fasta	77243	915	230.682	204.277	0.472406	0.410133
Oryza_glaberrima_pi.10.7700001.7800000.fasta	60390	833	204.327	185.97	0.360633	0.432926
Oryza_glaberrima_pi.10.7800001.7900000.fasta	66842	891	206.271	198.919	0.135069	0.424652
Oryza_glaberrima_pi.10.7900001.8000000.fasta	78485	1299	334.699	290.007	0.563809	0.419462
Oryza_glaberrima_pi.10.8000001.8100000.fasta	77765	2069	610.515	461.912	1.17808	0.42419
Oryza_glaberrima_pi.10.800001.900000.fasta	76635	1640	299.399	366.136	-0.667201	0.414187
Oryza_glaberrima_pi.10.8100001.8200000.fasta	35948	404	105.62	90.1946	0.622319	0.431535
Oryza_glaberrima_pi.10.8200001.8300000.fasta	42819	646	185.893	144.222	1.05445	0.446208
Oryza_glaberrima_pi.10.8300001.8400000.fasta	46254	611	140.982	136.408	0.122343	0.425007
Oryza_glaberrima_pi.10.8400001.8500000.fasta	52816	619	143.595	138.194	0.1426	0.406159
Oryza_glaberrima_pi.10.8500001.8600000.fasta	74689	961	231.689	214.547	0.292065	0.443228
Oryza_glaberrima_pi.10.8600001.8700000.fasta	51159	693	166.033	154.715	0.267072	0.445462
Oryza_glaberrima_pi.10.8700001.8800000.fasta	49929	957	254.846	213.654	0.704739	0.431816
Oryza_glaberrima_pi.10.8800001.8900000.fasta	72361	957	264.504	213.654	0.869984	0.414648
Oryza_glaberrima_pi.10.8900001.9000000.fasta	91877	920	208.795	205.394	0.0605327	0.425515
Oryza_glaberrima_pi.10.9000001.9100000.fasta	71038	816	207.45	182.175	0.506851	0.423037
Oryza_glaberrima_pi.10.900001.1000000.fasta	70790	1428	374.893	318.807	0.643786	0.415962
Oryza_glaberrima_pi.10.9100001.9200000.fasta	86361	1165	327.503	260.091	0.947979	0.400774
Oryza_glaberrima_pi.10.9200001.9300000.fasta	59161	739	197.612	164.985	0.722169	0.443768
Oryza_glaberrima_pi.10.9300001.9400000.fasta	86516	1871	417.172	417.708	-0.00469847	0.448198
Oryza_glaberrima_pi.10.9400001.9500000.fasta	35208	513	142.518	114.529	0.890729	0.409455
Oryza_glaberrima_pi.10.9500001.9600000.fasta	77906	1540	429.43	343.811	0.911438	0.415632
Oryza_glaberrima_pi.10.9600001.9700000.fasta	66713	2081	500.66	464.591	0.284299	0.42513
Oryza_glaberrima_pi.10.9700001.9800000.fasta	77522	815	163.013	181.952	-0.380246	0.429302
Oryza_glaberrima_pi.10.9800001.9900000.fasta	74125	1120	263.506	250.044	0.196883	0.429099
Oryza_glaberrima_pi.10.9900001.10000000.fasta	95714	952	272.337	212.538	1.02844	0.383784
Oryza_glaberrima_pi.1.10000001.10100000.fasta	65594	491	122.711	109.618	0.435233	0.44609
Oryza_glaberrima_pi.1.1000001.1100000.fasta	90425	543	126.908	121.227	0.170876	0.424209
Oryza_glaberrima_pi.1.100001.200000.fasta	67752	629	118.58	140.427	-0.567683	0.424338
Oryza_glaberrima_pi.1.10100001.10200000.fasta	88480	592	142.477	132.166	0.284574	0.429991
Oryza_glaberrima_pi.1.10200001.10300000.fasta	85471	408	81.8013	91.0876	-0.370988	0.436072
Oryza_glaberrima_pi.1.10300001.10400000.fasta	81685	456	79.4515	101.804	-0.799639	0.426472
Oryza_glaberrima_pi.1.10400001.10500000.fasta	74672	397	74.12	88.6318	-0.595686	0.427431
Oryza_glaberrima_pi.1.10500001.10600000.fasta	84482	692	99.4032	154.492	-1.30175	0.453737
Oryza_glaberrima_pi.1.10600001.10700000.fasta	91420	509	140.856	113.636	0.873003	0.414343
Oryza_glaberrima_pi.1.10700001.10800000.fasta	56320	370	89.0665	82.6039	0.284469	0.425517
Oryza_glaberrima_pi.1.10800001.10900000.fasta	72775	490	149.835	109.394	1.34699	0.433
Oryza_glaberrima_pi.1.10900001.11000000.fasta	92840	613	167.952	136.855	0.829051	0.433469
Oryza_glaberrima_pi.11.10000001.10100000.fasta	88112	979	249.387	218.566	0.515496	0.398278
Oryza_glaberrima_pi.11.1000001.1100000.fasta	80273	1522	524.858	339.792	1.99333	0.429688
Oryza_glaberrima_pi.1.11000001.11100000.fasta	93496	567	108.489	126.585	-0.521349	0.411763
Oryza_glaberrima_pi.1.1.100000.fasta	91777	651	118.203	145.338	-0.681404	0.445514
Oryza_glaberrima_pi.1.1100001.1200000.fasta	94692	984	213.071	219.682	-0.11001	0.420976
Oryza_glaberrima_pi.11.100001.200000.fasta	88445	1011	367.007	225.71	2.2887	0.435395
Oryza_glaberrima_pi.11.10100001.10200000.fasta	89279	1089	240.357	243.123	-0.041604	0.428608
Oryza_glaberrima_pi.11.10200001.10300000.fasta	80107	1282	210.481	286.211	-0.968015	0.401688
Oryza_glaberrima_pi.11.10300001.10400000.fasta	93081	1450	254.075	323.718	-0.787285	0.415461
Oryza_glaberrima_pi.11.10400001.10500000.fasta	73907	1638	371.444	365.69	0.0575923	0.40819
Oryza_glaberrima_pi.11.10500001.10600000.fasta	82187	1131	245.099	252.5	-0.1072	0.398064
Oryza_glaberrima_pi.11.10600001.10700000.fasta	93108	1487	376.229	331.979	0.487811	0.429662
Oryza_glaberrima_pi.11.10700001.10800000.fasta	94763	729	180.731	162.752	0.403381	0.387876
Oryza_glaberrima_pi.11.10800001.10900000.fasta	84024	860	207.765	191.998	0.300059	0.422543
Oryza_glaberrima_pi.11.10900001.11000000.fasta	90476	869	216.04	194.008	0.414979	0.43002
Oryza_glaberrima_pi.11.11000001.11100000.fasta	94600	604	107.842	134.845	-0.730572	0.398929
Oryza_glaberrima_pi.11.1.100000.fasta	60305	152	52.5088	33.9346	1.9662	0.425037
Oryza_glaberrima_pi.1.11100001.11200000.fasta	82092	842	170.394	187.98	-0.341807	0.412452
Oryza_glaberrima_pi.11.1100001.1200000.fasta	78910	632	182.01	141.096	1.0581	0.434106
Oryza_glaberrima_pi.11.11100001.11200000.fasta	84415	976	220.929	217.896	0.0508953	0.425294
Oryza_glaberrima_pi.11.11200001.11300000.fasta	81342	721	171.483	160.966	0.238569	0.424902
Oryza_glaberrima_pi.11.11300001.11400000.fasta	92904	865	216.052	193.115	0.434005	0.419731
Oryza_glaberrima_pi.11.11400001.11500000.fasta	86806	1212	333.878	270.584	0.85565	0.440178
