chr	start	stop	medianpos	name	size	S_Pop	Pi_Pop	W_Pop	D_Pop	GC	pi_site_Oryza_barthii	name	size	S_Pop	Pi_Pop	W_Pop	D_Pop	GC	pi_site_Oryza_glaberrima	ROD	RODmini-1
1	1000001	1100000	1050000.5	Oryza_barthii_pi.1.1000001.1100000.fasta	90422	669	155.903	152.22	0.0891901	0.423767	0.0017241711	Oryza_glaberrima_pi.1.1000001.1100000.fasta	90425	543	126.908	121.227	0.170876	0.424209	0.0014034614	0.1860080331	0.1860080331
1	1100001	1200000	1150000.5	Oryza_barthii_pi.1.1100001.1200000.fasta	94634	914	227.925	207.966	0.354258	0.420476	0.0024084895	Oryza_glaberrima_pi.1.1100001.1200000.fasta	94692	984	213.071	219.682	-0.11001	0.420976	0.0022501478	0.0657431549	0.0657431549
1	1200001	1300000	1250000.5	Oryza_barthii_pi.1.1200001.1300000.fasta	81965	1529	426.585	347.899	0.83601	0.427455	0.0052044775	Oryza_glaberrima_pi.1.1200001.1300000.fasta	82011	852	220.533	190.212	0.582429	0.428748	0.0026890661	0.4833167998	0.4833167998
1	1300001	1400000	1350000.5	Oryza_barthii_pi.1.1300001.1400000.fasta	64792	1135	270.679	258.251	0.177758	0.440688	0.0041776608	Oryza_glaberrima_pi.1.1300001.1400000.fasta	64713	608	147.982	135.738	0.329093	0.442798	0.002286743	0.4526259788	0.4526259788
1	1400001	1500000	1450000.5	Oryza_barthii_pi.1.1400001.1500000.fasta	66957	599	131.788	136.293	-0.121775	0.435496	0.0019682483	Oryza_glaberrima_pi.1.1400001.1500000.fasta	67631	432	99.0998	96.4457	0.100187	0.436172	0.0014653014	0.2555301936	0.2555301936
1	1500001	1600000	1550000.5	Oryza_barthii_pi.1.1500001.1600000.fasta	81348	1051	277.985	239.138	0.599895	0.415161	0.0034172321	Oryza_glaberrima_pi.1.1500001.1600000.fasta	80878	796	203.317	177.71	0.526357	0.415631	0.0025138727	0.2643541191	0.2643541191
1	1600001	1700000	1650000.5	Oryza_barthii_pi.1.1600001.1700000.fasta	89448	1189	249.147	270.538	-0.292096	0.409652	0.0027853837	Oryza_glaberrima_pi.1.1600001.1700000.fasta	90388	600	123.616	133.952	-0.281499	0.41065	0.0013676152	0.5090029511	0.5090029511
1	1700001	1800000	1750000.5	Oryza_barthii_pi.1.1700001.1800000.fasta	91274	1067	190.976	242.779	-0.788007	0.446255	0.0020923374	Oryza_glaberrima_pi.1.1700001.1800000.fasta	91237	421	81.5316	93.9899	-0.482459	0.447101	0.0008936243	0.5729062076	0.5729062076
1	1800001	1900000	1850000.5	Oryza_barthii_pi.1.1800001.1900000.fasta	92661	1017	226.879	231.402	-0.0721828	0.427179	0.0024484843	Oryza_glaberrima_pi.1.1800001.1900000.fasta	93089	537	138.853	119.887	0.576745	0.428617	0.0014916156	0.3908004331	0.3908004331
1	1900001	2000000	1950000.5	Oryza_barthii_pi.1.1900001.2000000.fasta	82461	769	126.443	174.974	-1.02316	0.475529	0.0015333673	Oryza_glaberrima_pi.1.1900001.2000000.fasta	82543	475	82.8601	106.046	-0.796491	0.476035	0.0010038416	0.3453351709	0.3453351709
1	2000001	2100000	2050000.5	Oryza_barthii_pi.1.2000001.2100000.fasta	80394	1154	341.869	262.574	1.11551	0.456524	0.0042524193	Oryza_glaberrima_pi.1.2000001.2100000.fasta	80453	1038	136.307	231.738	-1.50567	0.458433	0.0016942438	0.6015811916	0.6015811916
1	2100001	2200000	2150000.5	Oryza_barthii_pi.1.2100001.2200000.fasta	77300	983	275.735	223.666	0.859529	0.423455	0.0035670763	Oryza_glaberrima_pi.1.2100001.2200000.fasta	77344	365	57.2843	81.4877	-1.07985	0.423735	0.0007406431	0.7923669041	0.7923669041
1	2200001	2300000	2250000.5	Oryza_barthii_pi.1.2200001.2300000.fasta	93930	671	181.472	152.675	0.69536	0.406562	0.0019319919	Oryza_glaberrima_pi.1.2200001.2300000.fasta	93941	456	91.9168	101.804	-0.353699	0.407565	0.0009784524	0.4935525204	0.4935525204
1	2300001	2400000	2350000.5	Oryza_barthii_pi.1.2300001.2400000.fasta	65533	440	82.1118	100.115	-0.661355	0.409571	0.001252984	Oryza_glaberrima_pi.1.2300001.2400000.fasta	65459	296	42.2631	66.0832	-1.30784	0.410775	0.0006456423	0.4847162341	0.4847162341
1	2400001	2500000	2450000.5	Oryza_barthii_pi.1.2400001.2500000.fasta	54355	317	74.3151	72.1283	0.111203	0.406393	0.0013672174	Oryza_glaberrima_pi.1.2400001.2500000.fasta	54257	281	57.1533	62.7343	-0.322599	0.407539	0.0010533811	0.2295437757	0.2295437757
1	2500001	2600000	2550000.5	Oryza_barthii_pi.1.2500001.2600000.fasta	52513	372	91.0689	84.6426	0.278868	0.436395	0.0017342163	Oryza_glaberrima_pi.1.2500001.2600000.fasta	52273	306	56.7315	68.3157	-0.615459	0.437389	0.0010852926	0.3741884417	0.3741884417
1	2600001	2700000	2650000.5	Oryza_barthii_pi.1.2600001.2700000.fasta	87518	712	181.118	162.004	0.435078	0.424364	0.0020694943	Oryza_glaberrima_pi.1.2600001.2700000.fasta	87510	419	70.8559	93.5434	-0.882755	0.425247	0.0008096892	0.6087502208	0.6087502208
1	2700001	2800000	2750000.5	Oryza_barthii_pi.1.2700001.2800000.fasta	89002	797	185.261	181.345	0.0796706	0.410546	0.0020815375	Oryza_glaberrima_pi.1.2700001.2800000.fasta	88731	426	82.0124	95.1062	-0.501162	0.411071	0.0009242813	0.5559622359	0.5559622359
1	2800001	2900000	2850000.5	Oryza_barthii_pi.1.2800001.2900000.fasta	78449	528	116.838	120.138	-0.101131	0.450888	0.0014893498	Oryza_glaberrima_pi.1.2800001.2900000.fasta	78598	407	78.0984	90.8643	-0.511244	0.451875	0.0009936436	0.3328339487	0.3328339487
1	2900001	3000000	2950000.5	Oryza_barthii_pi.1.2900001.3000000.fasta	65395	877	241.191	199.547	0.770212	0.44126	0.0036882178	Oryza_glaberrima_pi.1.2900001.3000000.fasta	65618	666	228.798	148.687	1.96658	0.44154	0.0034868176	0.0546063507	0.0546063507
1	3000001	3100000	3050000.5	Oryza_barthii_pi.1.3000001.3100000.fasta	81935	596	169.861	135.61	0.930595	0.461081	0.0020731189	Oryza_glaberrima_pi.1.3000001.3100000.fasta	82160	510	133.838	113.859	0.63951	0.461754	0.0016289922	0.2142311846	0.2142311846
1	3100001	3200000	3150000.5	Oryza_barthii_pi.1.3100001.3200000.fasta	69326	975	248.932	221.846	0.450786	0.434557	0.0035907452	Oryza_glaberrima_pi.1.3100001.3200000.fasta	68747	695	223.386	155.161	1.60523	0.434359	0.0032493927	0.0950645221	0.0950645221
1	3200001	3300000	3250000.5	Oryza_barthii_pi.1.3200001.3300000.fasta	51248	590	166.441	134.245	0.883626	0.420817	0.003247756	Oryza_glaberrima_pi.1.3200001.3300000.fasta	51953	555	157.449	123.906	0.987161	0.421919	0.0030306046	0.0668619885	0.0668619885
1	3300001	3400000	3350000.5	Oryza_barthii_pi.1.3300001.3400000.fasta	82653	629	172.66	143.119	0.760743	0.423647	0.0020889744	Oryza_glaberrima_pi.1.3300001.3400000.fasta	82960	661	139.83	147.571	-0.191455	0.423255	0.0016855111	0.193139418	0.193139418
1	3400001	3500000	3450000.5	Oryza_barthii_pi.1.3400001.3500000.fasta	98057	533	125.89	121.276	0.140122	0.419472	0.0012838451	Oryza_glaberrima_pi.1.3400001.3500000.fasta	98068	389	50.745	86.8458	-1.5121	0.419687	0.0005174471	0.5969552142	0.5969552142
1	3500001	3600000	3550000.5	Oryza_barthii_pi.1.3500001.3600000.fasta	96683	760	147.836	172.926	-0.535202	0.416591	0.0015290796	Oryza_glaberrima_pi.1.3500001.3600000.fasta	96684	391	73.2502	87.2923	-0.585177	0.41744	0.0007576248	0.5045222924	0.5045222924
1	3600001	3700000	3650000.5	Oryza_barthii_pi.1.3600001.3700000.fasta	93285	630	161.336	143.346	0.462541	0.443868	0.0017294956	Oryza_glaberrima_pi.1.3600001.3700000.fasta	93318	217	19.5724	48.4461	-2.15411	0.444226	0.0002097387	0.8787283767	0.8787283767
1	3700001	3800000	3750000.5	Oryza_barthii_pi.1.3700001.3800000.fasta	65939	427	137.193	97.157	1.51519	0.416254	0.0020806048	Oryza_glaberrima_pi.1.3700001.3800000.fasta	65491	231	58.1798	51.5716	0.463528	0.416214	0.0008883633	0.5730264171	0.5730264171
1	3800001	3900000	3850000.5	Oryza_barthii_pi.1.3800001.3900000.fasta	81343	460	97.0246	104.666	-0.268574	0.427329	0.0011927836	Oryza_glaberrima_pi.1.3800001.3900000.fasta	81661	291	49.2794	64.9669	-0.875964	0.427934	0.0006034631	0.4940716196	0.4940716196
1	3900001	4000000	3950000.5	Oryza_barthii_pi.1.3900001.4000000.fasta	88934	717	149.906	163.142	-0.299198	0.437558	0.0016855871	Oryza_glaberrima_pi.1.3900001.4000000.fasta	89092	357	69.7068	79.7016	-0.455834	0.437895	0.0007824137	0.5358212571	0.5358212571
1	4000001	4100000	4050000.5	Oryza_barthii_pi.1.4000001.4100000.fasta	96750	845	221.38	192.266	0.558792	0.410694	0.0022881654	Oryza_glaberrima_pi.1.4000001.4100000.fasta	96713	369	82.0459	82.3807	-0.0147758	0.41094	0.0008483441	0.629247047	0.629247047
1	4100001	4200000	4150000.5	Oryza_barthii_pi.1.4100001.4200000.fasta	81762	357	104.406	81.2296	1.04762	0.421471	0.0012769502	Oryza_glaberrima_pi.1.4100001.4200000.fasta	82106	295	56.8329	65.8599	-0.497289	0.422005	0.0006921894	0.4579354936	0.4579354936
1	4200001	4300000	4250000.5	Oryza_barthii_pi.1.4200001.4300000.fasta	93162	758	272.855	172.471	2.14693	0.417232	0.0029288229	Oryza_glaberrima_pi.1.4200001.4300000.fasta	93591	725	172.234	161.859	0.234041	0.418715	0.0018402838	0.3716643703	0.3716643703
1	4300001	4400000	4350000.5	Oryza_barthii_pi.1.4300001.4400000.fasta	86232	348	68.6176	79.1818	-0.489768	0.4118	0.0007957324	Oryza_glaberrima_pi.1.4300001.4400000.fasta	86294	269	47.6607	60.0553	-0.748035	0.412588	0.0005523061	0.3059148524	0.3059148524
1	4400001	4500000	4450000.5	Oryza_barthii_pi.1.4400001.4500000.fasta	66626	358	112.753	81.4572	1.41075	0.439585	0.0016923273	Oryza_glaberrima_pi.1.4400001.4500000.fasta	64013	191	29.1189	42.6415	-1.14393	0.44044	0.0004548904	0.7312042371	0.7312042371
1	4500001	4600000	4550000.5	Oryza_barthii_pi.1.4500001.4600000.fasta	78214	537	143.182	122.186	0.632778	0.421233	0.0018306441	Oryza_glaberrima_pi.1.4500001.4600000.fasta	78300	369	103.776	82.3807	0.944316	0.422167	0.001325364	0.2760122173	0.2760122173
1	4600001	4700000	4650000.5	Oryza_barthii_pi.1.4600001.4700000.fasta	71027	673	160.368	153.13	0.174261	0.417641	0.0022578456	Oryza_glaberrima_pi.1.4600001.4700000.fasta	71108	364	102.86	81.2644	0.966108	0.41831	0.001446532	0.3593308459	0.3593308459
1	4700001	4800000	4750000.5	Oryza_barthii_pi.1.4700001.4800000.fasta	66217	526	114.913	119.683	-0.146728	0.406513	0.0017354003	Oryza_glaberrima_pi.1.4700001.4800000.fasta	66320	328	79.999	73.2273	0.335878	0.406942	0.0012062575	0.304911059	0.304911059
1	4800001	4900000	4850000.5	Oryza_barthii_pi.1.4800001.4900000.fasta	74916	596	132.141	135.61	-0.094269	0.42265	0.0017638555	Oryza_glaberrima_pi.1.4800001.4900000.fasta	74728	341	80.0907	76.1296	0.189054	0.423047	0.0010717629	0.3923748766	0.3923748766
1	4900001	5000000	4950000.5	Oryza_barthii_pi.1.4900001.5000000.fasta	83491	781	185.177	177.704	0.155131	0.420918	0.0022179277	Oryza_glaberrima_pi.1.4900001.5000000.fasta	83026	486	106.586	108.501	-0.064334	0.42214	0.0012837665	0.4211864787	0.4211864787
1	5000001	5100000	5050000.5	Oryza_barthii_pi.1.5000001.5100000.fasta	95885	994	259.797	226.169	0.548989	0.420703	0.0027094645	Oryza_glaberrima_pi.1.5000001.5100000.fasta	95924	808	222.163	180.389	0.845966	0.42116	0.0023160314	0.1452069317	0.1452069317
1	5100001	5200000	5150000.5	Oryza_barthii_pi.1.5100001.5200000.fasta	74465	769	241.692	174.974	1.40658	0.4108	0.0032457128	Oryza_glaberrima_pi.1.5100001.5200000.fasta	74238	365	67.3446	81.4877	-0.631007	0.411576	0.0009071446	0.7205098976	0.7205098976
1	5200001	5300000	5250000.5	Oryza_barthii_pi.1.5200001.5300000.fasta	92769	825	201.935	187.716	0.279512	0.421733	0.0021767509	Oryza_glaberrima_pi.1.5200001.5300000.fasta	92802	496	93.9034	110.734	-0.553854	0.422578	0.0010118683	0.5351474071	0.5351474071
1	5300001	5400000	5350000.5	Oryza_barthii_pi.1.5300001.5400000.fasta	90635	1072	295.824	243.916	0.785923	0.409564	0.0032639047	Oryza_glaberrima_pi.1.5300001.5400000.fasta	90664	651	182.573	145.338	0.935001	0.410069	0.002013732	0.3830297685	0.3830297685
1	5400001	5500000	5450000.5	Oryza_barthii_pi.1.5400001.5500000.fasta	91509	721	199.944	164.052	0.806854	0.40968	0.0021849654	Oryza_glaberrima_pi.1.5400001.5500000.fasta	91844	649	195.272	144.892	1.26898	0.410474	0.0021261269	0.0269288026	0.0269288026
1	5500001	5600000	5550000.5	Oryza_barthii_pi.1.5500001.5600000.fasta	95972	924	237.171	210.241	0.472821	0.412808	0.002471252	Oryza_glaberrima_pi.1.5500001.5600000.fasta	95972	539	151.787	120.334	0.952967	0.413877	0.0015815759	0.3600102879	0.3600102879
1	5600001	5700000	5650000.5	Oryza_barthii_pi.1.5600001.5700000.fasta	90339	1044	278.285	237.545	0.633323	0.392433	0.0030804525	Oryza_glaberrima_pi.1.5600001.5700000.fasta	89956	432	81.3808	96.4457	-0.568656	0.393442	0.0009046734	0.7063180196	0.7063180196
1	5700001	5800000	5750000.5	Oryza_barthii_pi.1.5700001.5800000.fasta	88189	537	149.686	122.186	0.828796	0.43375	0.0016973319	Oryza_glaberrima_pi.1.5700001.5800000.fasta	88308	282	61.8804	62.9576	-0.062047	0.433304	0.0007007338	0.5871556947	0.5871556947
1	5800001	5900000	5850000.5	Oryza_barthii_pi.1.5800001.5900000.fasta	90285	664	151.302	151.083	0.00536221	0.45148	0.0016758265	Oryza_glaberrima_pi.1.5800001.5900000.fasta	91067	280	44.4432	62.5111	-1.04807	0.452483	0.0004880275	0.7087840049	0.7087840049
1	5900001	6000000	5950000.5	Oryza_barthii_pi.1.5900001.6000000.fasta	90612	945	211.993	215.02	-0.0519646	0.439682	0.0023395687	Oryza_glaberrima_pi.1.5900001.6000000.fasta	90246	610	122.03	136.185	-0.379222	0.44059	0.0013521929	0.4220332624	0.4220332624
1	6000001	6100000	6050000.5	Oryza_barthii_pi.1.6000001.6100000.fasta	89761	849	225.053	193.176	0.608948	0.429319	0.002507247	Oryza_glaberrima_pi.1.6000001.6100000.fasta	89531	425	90.6702	94.8829	-0.161617	0.43047	0.0010127241	0.5960812496	0.5960812496
1	6100001	6200000	6150000.5	Oryza_barthii_pi.1.6100001.6200000.fasta	88894	670	185.7	152.448	0.804134	0.420665	0.0020890049	Oryza_glaberrima_pi.1.6100001.6200000.fasta	88554	293	42.7245	65.4134	-1.25835	0.42144	0.0004824683	0.769043946	0.769043946
1	6200001	6300000	6250000.5	Oryza_barthii_pi.1.6200001.6300000.fasta	88218	1183	368.413	269.173	1.36197	0.427834	0.0041761659	Oryza_glaberrima_pi.1.6200001.6300000.fasta	88304	310	51.0359	69.2087	-0.95318	0.428577	0.0005779568	0.8616058725	0.8616058725
1	6300001	6400000	6350000.5	Oryza_barthii_pi.1.6300001.6400000.fasta	90178	1871	608.379	425.716	1.58658	0.441738	0.0067464237	Oryza_glaberrima_pi.1.6300001.6400000.fasta	87303	631	156.42	140.873	0.402701	0.445074	0.001791691	0.7344235885	0.7344235885
1	6400001	6500000	6450000.5	Oryza_barthii_pi.1.6400001.6500000.fasta	89744	1092	292.608	248.467	0.656131	0.412763	0.0032604742	Oryza_glaberrima_pi.1.6400001.6500000.fasta	89997	360	73.2883	80.3714	-0.320368	0.412622	0.0008143416	0.7502382998	0.7502382998
1	6500001	6600000	6550000.5	Oryza_barthii_pi.1.6500001.6600000.fasta	84029	1006	317.903	228.899	1.43572	0.427428	0.0037832534	Oryza_glaberrima_pi.1.6500001.6600000.fasta	83683	179	21.4503	39.9624	-1.66917	0.428186	0.000256328	0.9322466617	0.9322466617
1	6600001	6700000	6650000.5	Oryza_barthii_pi.1.6600001.6700000.fasta	92773	1358	412.682	308.991	1.24009	0.418204	0.0044482985	Oryza_glaberrima_pi.1.6600001.6700000.fasta	92547	445	116.874	99.348	0.642354	0.418918	0.001262861	0.7161024552	0.7161024552
1	6700001	6800000	6750000.5	Oryza_barthii_pi.1.6700001.6800000.fasta	72901	728	246.384	165.645	1.79763	0.447353	0.0033797067	Oryza_glaberrima_pi.1.6700001.6800000.fasta	73685	318	87.7669	70.9947	0.857805	0.448024	0.0011911095	0.6475701742	0.6475701742
1	6800001	6900000	6850000.5	Oryza_barthii_pi.1.6800001.6900000.fasta	96257	993	229.213	225.941	0.0534632	0.425843	0.0023812606	Oryza_glaberrima_pi.1.6800001.6900000.fasta	96296	675	202.796	150.696	1.26198	0.426437	0.0021059649	0.1156092047	0.1156092047
1	6900001	7000000	6950000.5	Oryza_barthii_pi.1.6900001.7000000.fasta	82068	1099	278.373	250.06	0.418178	0.430035	0.0033919798	Oryza_glaberrima_pi.1.6900001.7000000.fasta	82031	596	165.75	133.059	0.896255	0.43136	0.0020205776	0.4043073094	0.4043073094
1	7000001	7100000	7050000.5	Oryza_barthii_pi.1.7000001.7100000.fasta	93813	1359	372.65	309.219	0.758045	0.433385	0.003972264	Oryza_glaberrima_pi.1.7000001.7100000.fasta	93856	888	226.079	198.249	0.512993	0.434128	0.0024087858	0.3935987597	0.3935987597
1	7100001	7200000	7150000.5	Oryza_barthii_pi.1.7100001.7200000.fasta	96881	1023	223.356	232.767	-0.149301	0.411945	0.0023054675	Oryza_glaberrima_pi.1.7100001.7200000.fasta	95546	376	68.9733	83.9435	-0.648533	0.413795	0.0007218858	0.6868809545	0.6868809545
1	7200001	7300000	7250000.5	Oryza_barthii_pi.1.7200001.7300000.fasta	86789	1251	291.778	284.645	0.0925833	0.422424	0.0033619237	Oryza_glaberrima_pi.1.7200001.7300000.fasta	85445	510	99.2231	113.859	-0.468511	0.423972	0.0011612511	0.6545873182	0.6545873182
1	7300001	7400000	7350000.5	Oryza_barthii_pi.1.7300001.7400000.fasta	96079	1092	259.509	248.467	0.164136	0.429112	0.0027009961	Oryza_glaberrima_pi.1.7300001.7400000.fasta	96218	357	56.8307	79.7016	-1.04307	0.429176	0.0005906452	0.7813231899	0.7813231899
1	7400001	7500000	7450000.5	Oryza_barthii_pi.1.7400001.7500000.fasta	84846	722	217.911	164.28	1.20398	0.43009	0.002568312	Oryza_glaberrima_pi.1.7400001.7500000.fasta	85289	556	154.646	124.129	0.896501	0.430929	0.0018131998	0.2940110757	0.2940110757
1	7500001	7600000	7550000.5	Oryza_barthii_pi.1.7500001.7600000.fasta	96301	719	185.034	163.597	0.48325	0.412046	0.0019214131	Oryza_glaberrima_pi.1.7500001.7600000.fasta	96390	404	82.7356	90.1946	-0.300915	0.412635	0.0008583422	0.5532755734	0.5532755734
1	7600001	7700000	7650000.5	Oryza_barthii_pi.1.7600001.7700000.fasta	85957	1088	225.197	247.557	-0.333578	0.445992	0.0026198797	Oryza_glaberrima_pi.1.7600001.7700000.fasta	85635	754	173.533	168.333	0.112801	0.447583	0.0020264261	0.2265194065	0.2265194065
1	7700001	7800000	7750000.5	Oryza_barthii_pi.1.7700001.7800000.fasta	82918	670	114.308	152.448	-0.92235	0.455061	0.0013785668	Oryza_glaberrima_pi.1.7700001.7800000.fasta	83048	422	91.1227	94.2131	-0.119397	0.455849	0.0010972293	0.2040796778	0.2040796778
1	7800001	7900000	7850000.5	Oryza_barthii_pi.1.7800001.7900000.fasta	92779	750	185.191	170.65	0.314287	0.430037	0.0019960444	Oryza_glaberrima_pi.1.7800001.7900000.fasta	93186	461	97.231	102.92	-0.201329	0.430844	0.0010434078	0.4772622156	0.4772622156
1	7900001	8000000	7950000.5	Oryza_barthii_pi.1.7900001.8000000.fasta	85735	804	234.382	182.937	1.03755	0.423749	0.002733796	Oryza_glaberrima_pi.1.7900001.8000000.fasta	84289	463	120.557	103.367	0.605748	0.424692	0.0014302815	0.4768148275	0.4768148275
1	8000001	8100000	8050000.5	Oryza_barthii_pi.1.8000001.8100000.fasta	82994	682	156.315	155.178	0.0270071	0.459788	0.0018834494	Oryza_glaberrima_pi.1.8000001.8100000.fasta	83512	475	117.323	106.046	0.387425	0.461071	0.001404864	0.2541004992	0.2541004992
1	8100001	8200000	8150000.5	Oryza_barthii_pi.1.8100001.8200000.fasta	85902	1254	328.269	285.328	0.556046	0.422149	0.0038214361	Oryza_glaberrima_pi.1.8100001.8200000.fasta	85696	603	164.67	134.622	0.814267	0.4237	0.0019215599	0.4971628715	0.4971628715
1	8200001	8300000	8250000.5	Oryza_barthii_pi.1.8200001.8300000.fasta	63970	675	149.938	153.585	-0.0875476	0.415247	0.0023438799	Oryza_glaberrima_pi.1.8200001.8300000.fasta	64574	281	66.0369	62.7343	0.190901	0.415859	0.0010226546	0.5636915485	0.5636915485
1	8300001	8400000	8350000.5	Oryza_barthii_pi.1.8300001.8400000.fasta	95213	1085	227.788	246.874	-0.285526	0.432432	0.0023924044	Oryza_glaberrima_pi.1.8300001.8400000.fasta	95165	561	161.256	125.245	1.0485	0.433511	0.0016944885	0.291721533	0.291721533
1	8400001	8500000	8450000.5	Oryza_barthii_pi.1.8400001.8500000.fasta	92975	925	197.317	210.469	-0.230666	0.4125	0.0021222587	Oryza_glaberrima_pi.1.8400001.8500000.fasta	92956	614	155.052	137.078	0.478418	0.413703	0.001668015	0.2140378564	0.2140378564
1	8500001	8600000	8550000.5	Oryza_barthii_pi.1.8500001.8600000.fasta	79000	1222	273.145	278.047	-0.0651222	0.417014	0.0034575316	Oryza_glaberrima_pi.1.8500001.8600000.fasta	78899	856	208.786	191.105	0.338058	0.417867	0.0026462439	0.2346436119	0.2346436119
1	8600001	8700000	8650000.5	Oryza_barthii_pi.1.8600001.8700000.fasta	64618	685	142.6	155.861	-0.313688	0.405807	0.0022068154	Oryza_glaberrima_pi.1.8600001.8700000.fasta	64919	283	57.4853	63.1808	-0.326919	0.407253	0.0008854927	0.5987463766	0.5987463766
1	8700001	8800000	8750000.5	Oryza_barthii_pi.1.8700001.8800000.fasta	85024	804	213.411	182.937	0.614595	0.412072	0.0025100089	Oryza_glaberrima_pi.1.8700001.8800000.fasta	84899	513	116.283	114.529	0.0558222	0.41344	0.0013696628	0.4543195625	0.4543195625
1	8800001	8900000	8850000.5	Oryza_barthii_pi.1.8800001.8900000.fasta	61683	552	156.013	125.599	0.891869	0.384783	0.0025292706	Oryza_glaberrima_pi.1.8800001.8900000.fasta	61912	444	122.911	99.1247	0.87379	0.384197	0.0019852533	0.2150886336	0.2150886336
1	8900001	9000000	8950000.5	Oryza_barthii_pi.1.8900001.9000000.fasta	89956	1192	300.591	271.22	0.400039	0.440115	0.0033415336	Oryza_glaberrima_pi.1.8900001.9000000.fasta	90144	1025	179.3	228.835	-0.791442	0.440999	0.0019890398	0.4047524359	0.4047524359
1	9000001	9100000	9050000.5	Oryza_barthii_pi.1.9000001.9100000.fasta	88416	775	144.26	176.339	-0.671087	0.403728	0.0016316051	Oryza_glaberrima_pi.1.9000001.9100000.fasta	87371	429	62.457	95.7759	-1.26642	0.404318	0.0007148482	0.5618742802	0.5618742802
1	9100001	9200000	9150000.5	Oryza_barthii_pi.1.9100001.9200000.fasta	92346	1095	272.037	249.15	0.339275	0.415206	0.002945845	Oryza_glaberrima_pi.1.9100001.9200000.fasta	91816	887	157.96	198.026	-0.739384	0.416562	0.0017203973	0.4159919034	0.4159919034
1	9200001	9300000	9250000.5	Oryza_barthii_pi.1.9200001.9300000.fasta	90300	636	148.447	144.712	0.0951278	0.40178	0.0016439313	Oryza_glaberrima_pi.1.9200001.9300000.fasta	90469	732	141.812	163.422	-0.482865	0.402687	0.0015675204	0.0464806358	0.0464806358
1	9300001	9400000	9350000.5	Oryza_barthii_pi.1.9300001.9400000.fasta	89760	1423	358.919	323.781	0.40108	0.454915	0.003998652	Oryza_glaberrima_pi.1.9300001.9400000.fasta	89993	910	241.206	203.161	0.684406	0.455518	0.0026802751	0.329705321	0.329705321
