name	size	S_Pop	Pi_Pop	W_Pop	D_Pop	GC
Oryza_barthii_pi.10.16500001.16600000.fasta	58516	643	156.782	146.304	0.26397	0.417866
Oryza_barthii_pi.10.16600001.16700000.fasta	80241	908	182.466	206.601	-0.431193	0.408623
Oryza_barthii_pi.10.16700001.16800000.fasta	90735	558	157.175	126.964	0.876435	0.403403
Oryza_barthii_pi.10.16800001.16900000.fasta	87029	655	166.484	149.035	0.43159	0.444927
Oryza_barthii_pi.10.16900001.17000000.fasta	21600	195	45.3102	44.3691	0.0773247	0.4485
Oryza_barthii_pi.10.17000001.17100000.fasta	62204	379	75.9844	86.2354	-0.43669	0.429489
Oryza_barthii_pi.10.1700001.1800000.fasta	79220	766	146.974	174.291	-0.578165	0.423091
Oryza_barthii_pi.10.17100001.17200000.fasta	87613	899	221.858	204.553	0.312249	0.447914
Oryza_barthii_pi.10.17200001.17300000.fasta	82893	1055	256.27	240.048	0.249559	0.437617
Oryza_barthii_pi.10.17300001.17400000.fasta	50409	1012	291.087	230.264	0.975343	0.447222
Oryza_barthii_pi.10.17400001.17500000.fasta	81999	713	172.638	162.232	0.23655	0.406061
Oryza_barthii_pi.10.17500001.17600000.fasta	95044	1449	370.035	329.697	0.452194	0.408793
Oryza_barthii_pi.10.17600001.17700000.fasta	79327	1129	282.058	256.886	0.361941	0.44522
Oryza_barthii_pi.10.17700001.17800000.fasta	93941	479	100.412	108.989	-0.289596	0.406035
Oryza_barthii_pi.10.17800001.17900000.fasta	95410	731	155.065	166.327	-0.249723	0.384577
Oryza_barthii_pi.10.17900001.18000000.fasta	95789	953	195.79	216.84	-0.358387	0.401013
Oryza_barthii_pi.10.18000001.18100000.fasta	95143	1256	352.341	285.783	0.86048	0.403323
Oryza_barthii_pi.10.1800001.1900000.fasta	88043	2255	575.651	513.089	0.450999	0.435026
Oryza_barthii_pi.10.18100001.18200000.fasta	81729	1284	367.535	292.154	0.953349	0.44752
Oryza_barthii_pi.10.18200001.18300000.fasta	91301	1017	249.786	231.402	0.293358	0.443779
Oryza_barthii_pi.10.18300001.18400000.fasta	97661	733	181.243	166.782	0.319783	0.426037
Oryza_barthii_pi.10.18400001.18500000.fasta	90268	1356	372.213	308.536	0.762665	0.436487
Oryza_barthii_pi.10.18500001.18600000.fasta	95057	874	168.538	198.865	-0.562827	0.408996
Oryza_barthii_pi.10.18600001.18700000.fasta	72465	1183	250.768	269.173	-0.25259	0.439399
Oryza_barthii_pi.10.18700001.18800000.fasta	92022	912	194.22	207.511	-0.236424	0.411157
Oryza_barthii_pi.10.18800001.18900000.fasta	92476	1231	358.1	280.094	1.02891	0.42689
Oryza_barthii_pi.10.18900001.19000000.fasta	74379	836	256.638	190.218	1.28849	0.416644
Oryza_barthii_pi.10.19000001.19100000.fasta	95032	576	138.107	131.06	0.198104	0.429208
Oryza_barthii_pi.10.1900001.2000000.fasta	65200	1735	541.028	394.771	1.36976	0.42137
Oryza_barthii_pi.10.19100001.19200000.fasta	92359	682	159.73	155.178	0.10816	0.433432
Oryza_barthii_pi.10.19200001.19300000.fasta	94236	950	245.199	216.157	0.496008	0.412446
Oryza_barthii_pi.10.19300001.19400000.fasta	77036	793	174.991	180.434	-0.111307	0.408963
Oryza_barthii_pi.10.19400001.19500000.fasta	73689	935	235.524	212.744	0.395279	0.423312
Oryza_barthii_pi.10.19500001.19600000.fasta	88334	1255	196.391	285.555	-1.15365	0.418948
Oryza_barthii_pi.10.19600001.19700000.fasta	90962	787	139.55	179.069	-0.81419	0.430333
Oryza_barthii_pi.10.19700001.19800000.fasta	89636	407	81.4168	92.6063	-0.444127	0.408079
Oryza_barthii_pi.10.19800001.19900000.fasta	62944	565	95.2608	128.557	-0.954017	0.497223
Oryza_barthii_pi.10.19900001.20000000.fasta	96909	822	159.926	187.033	-0.534778	0.420342
Oryza_barthii_pi.10.20000001.20100000.fasta	82595	654	187.919	148.807	0.968882	0.435624
Oryza_barthii_pi.10.2000001.2100000.fasta	72654	2182	694.797	496.479	1.47739	0.41178
Oryza_barthii_pi.10.200001.300000.fasta	76385	1552	509.234	353.133	1.63399	0.411469
Oryza_barthii_pi.10.20100001.20200000.fasta	88338	826	191.657	187.943	0.0729181	0.442741
Oryza_barthii_pi.10.20200001.20300000.fasta	81008	898	159.872	204.326	-0.803024	0.434747
Oryza_barthii_pi.10.20300001.20400000.fasta	81396	722	151.449	164.28	-0.28804	0.441291
Oryza_barthii_pi.10.20400001.20500000.fasta	62720	553	86.5773	125.826	-1.14886	0.440309
Oryza_barthii_pi.10.20500001.20600000.fasta	61591	992	211.537	225.714	-0.231902	0.473204
Oryza_barthii_pi.10.20600001.20700000.fasta	95534	963	169.776	219.115	-0.831318	0.459203
Oryza_barthii_pi.10.20700001.20800000.fasta	94595	753	171.407	171.333	0.00159889	0.447781
Oryza_barthii_pi.10.20800001.20900000.fasta	97023	1002	175.471	227.989	-0.850549	0.439126
Oryza_barthii_pi.10.20900001.21000000.fasta	79213	736	194.307	167.465	0.591161	0.444624
Oryza_barthii_pi.10.21000001.21100000.fasta	88947	707	177.72	160.867	0.386324	0.449077
Oryza_barthii_pi.10.2100001.2200000.fasta	81723	1391	468.598	316.5	1.77595	0.402406
Oryza_barthii_pi.10.21100001.21200000.fasta	90844	1037	202.889	235.953	-0.517456	0.418452
Oryza_barthii_pi.10.21200001.21300000.fasta	90312	1168	189.038	265.76	-1.06641	0.425696
Oryza_barthii_pi.10.21300001.21400000.fasta	97401	739	119.305	168.148	-1.07134	0.426597
Oryza_barthii_pi.10.21400001.21500000.fasta	86319	696	126.05	158.364	-0.752388	0.418912
Oryza_barthii_pi.10.21500001.21600000.fasta	83444	1192	328.917	271.22	0.785866	0.415843
Oryza_barthii_pi.10.21600001.21700000.fasta	91015	1167	319.279	265.532	0.747703	0.443367
Oryza_barthii_pi.10.21700001.21800000.fasta	92101	933	205.551	212.289	-0.11717	0.428178
Oryza_barthii_pi.10.21800001.21900000.fasta	93523	954	249.327	217.067	0.548652	0.432659
Oryza_barthii_pi.10.21900001.22000000.fasta	79649	1038	310.29	236.18	1.15873	0.448274
Oryza_barthii_pi.10.22000001.22100000.fasta	88686	759	183.595	172.698	0.232753	0.428057
Oryza_barthii_pi.10.2200001.2300000.fasta	86903	1459	321.312	331.972	-0.118681	0.396461
Oryza_barthii_pi.10.22100001.22200000.fasta	95485	909	179.404	206.828	-0.489434	0.443483
Oryza_barthii_pi.10.22200001.22300000.fasta	95755	514	109.691	116.952	-0.228586	0.429452
Oryza_barthii_pi.10.22300001.22400000.fasta	91315	569	116.333	129.467	-0.373688	0.407277
Oryza_barthii_pi.10.22400001.22500000.fasta	87644	787	210.109	179.069	0.639493	0.43373
Oryza_barthii_pi.10.22500001.22600000.fasta	87157	1910	733.733	434.59	2.54534	0.433323
Oryza_barthii_pi.10.22600001.22700000.fasta	71904	906	253.216	206.146	0.842807	0.42452
Oryza_barthii_pi.10.22700001.22800000.fasta	84167	894	194.566	203.415	-0.160566	0.420953
Oryza_barthii_pi.10.22800001.22900000.fasta	78488	709	126.99	161.322	-0.784768	0.431536
Oryza_barthii_pi.10.22900001.23000000.fasta	84056	756	128.876	172.016	-0.925057	0.440878
Oryza_barthii_pi.10.23000001.23100000.fasta	93475	377	91.9605	85.7803	0.264659	0.43089
Oryza_barthii_pi.10.2300001.2400000.fasta	83634	2215	551.072	503.988	0.345541	0.43026
Oryza_barthii_pi.10.23100001.23200000.fasta	80695	678	191.175	154.268	0.882051	0.449703
Oryza_barthii_pi.10.2400001.2500000.fasta	84543	2096	525.701	476.911	0.378356	0.423241
Oryza_barthii_pi.10.2500001.2600000.fasta	58158	1039	263.098	236.408	0.41691	0.416255
Oryza_barthii_pi.10.2600001.2700000.fasta	55675	1911	466.134	434.817	0.266327	0.428379
Oryza_barthii_pi.10.2700001.2800000.fasta	70768	1290	314.203	293.519	0.260383	0.41229
Oryza_barthii_pi.10.2800001.2900000.fasta	91813	1371	320.732	311.949	0.10404	0.423279
Oryza_barthii_pi.10.2900001.3000000.fasta	76545	1079	236.397	245.509	-0.137066	0.421607
Oryza_barthii_pi.10.3000001.3100000.fasta	74307	1210	328.386	275.316	0.712122	0.400362
Oryza_barthii_pi.10.300001.400000.fasta	89794	2162	824.162	491.928	2.49787	0.398727
Oryza_barthii_pi.10.3100001.3200000.fasta	60010	809	128.093	184.075	-1.1221	0.429717
Oryza_barthii_pi.10.3200001.3300000.fasta	9927	61	9.93806	13.8796	-1.00159	0.445669
Oryza_barthii_pi.10.3300001.3400000.fasta	37865	469	129.896	106.713	0.799297	0.457934
Oryza_barthii_pi.10.3400001.3500000.fasta	79234	660	147.471	150.172	-0.0663249	0.400591
Oryza_barthii_pi.10.3500001.3600000.fasta	78137	831	176.341	189.081	-0.24862	0.421573
Oryza_barthii_pi.10.3600001.3700000.fasta	94047	1439	338.143	327.421	0.121027	0.41236
Oryza_barthii_pi.10.3700001.3800000.fasta	86518	1558	378.502	354.498	0.250302	0.424132
Oryza_barthii_pi.10.3800001.3900000.fasta	59655	648	147.52	147.442	0.00195226	0.400302
Oryza_barthii_pi.10.3900001.4000000.fasta	68119	881	211.461	200.457	0.202588	0.420322
Oryza_barthii_pi.10.4000001.4100000.fasta	67599	1104	322.351	251.198	1.04619	0.407247
Oryza_barthii_pi.10.400001.500000.fasta	85976	2969	835.876	675.548	0.878117	0.414855
Oryza_barthii_pi.10.4100001.4200000.fasta	12093	360	110.061	81.9122	1.2619	0.524688
Oryza_barthii_pi.10.4200001.4300000.fasta	70312	1393	286.643	316.955	-0.353427	0.437634
Oryza_barthii_pi.10.4300001.4400000.fasta	74877	2363	606.201	537.663	0.471523	0.425503
Oryza_barthii_pi.10.4400001.4500000.fasta	58734	2060	544.614	468.72	0.598813	0.419941
Oryza_barthii_pi.10.4500001.4600000.fasta	52482	1300	319.975	295.794	0.302067	0.395823
Oryza_barthii_pi.10.4600001.4700000.fasta	83830	1219	283.29	277.364	0.0789321	0.421768
Oryza_barthii_pi.10.4700001.4800000.fasta	78342	1368	274.371	311.266	-0.438029	0.431073
Oryza_barthii_pi.10.4800001.4900000.fasta	62999	1621	381.067	368.833	0.122621	0.427748
Oryza_barthii_pi.10.4900001.5000000.fasta	54755	1146	239.316	260.754	-0.303683	0.412742
Oryza_barthii_pi.10.5000001.5100000.fasta	31031	459	121.246	104.438	0.59205	0.397925
Oryza_barthii_pi.10.500001.600000.fasta	84655	2767	767.058	629.586	0.807836	0.434304
Oryza_barthii_pi.10.5100001.5200000.fasta	21257	121	27.934	27.5316	0.0527889	0.418107
Oryza_barthii_pi.10.5200001.5300000.fasta	33536	636	168.476	144.712	0.605274	0.417941
Oryza_barthii_pi.10.5300001.5400000.fasta	63223	846	174.3	192.494	-0.348781	0.402424
Oryza_barthii_pi.10.5400001.5500000.fasta	66359	1414	258.127	321.733	-0.730635	0.413332
Oryza_barthii_pi.10.5500001.5600000.fasta	76165	1143	301.239	260.071	0.584696	0.399809
Oryza_barthii_pi.10.5600001.5700000.fasta	93111	1743	407.651	396.592	0.1031	0.432344
Oryza_barthii_pi.10.5700001.5800000.fasta	70719	636	129.823	144.712	-0.379216	0.409672
Oryza_barthii_pi.10.5800001.5900000.fasta	56996	1046	222.422	238.001	-0.241718	0.414298
Oryza_barthii_pi.10.5900001.6000000.fasta	39605	1057	253.015	240.503	0.192124	0.411824
Oryza_barthii_pi.10.6000001.6100000.fasta	53223	866	105.573	197.044	-1.71322	0.427584
Oryza_barthii_pi.10.600001.700000.fasta	79506	2336	598.62	531.519	0.466966	0.412338
Oryza_barthii_pi.10.6100001.6200000.fasta	77596	1800	292.929	409.561	-1.05294	0.404768
Oryza_barthii_pi.10.6200001.6300000.fasta	66055	897	182.36	204.098	-0.393119	0.417727
Oryza_barthii_pi.10.6300001.6400000.fasta	48847	602	115.536	136.975	-0.576743	0.403869
Oryza_barthii_pi.10.6400001.6500000.fasta	34811	409	83.3162	93.0614	-0.384923	0.421117
Oryza_barthii_pi.10.6500001.6600000.fasta	75654	973	182.673	221.391	-0.645673	0.410831
Oryza_barthii_pi.10.6600001.6700000.fasta	60178	1045	240.521	237.773	0.0426791	0.436196
Oryza_barthii_pi.10.6700001.6800000.fasta	52694	636	152.52	144.712	0.198865	0.428341
Oryza_barthii_pi.10.6800001.6900000.fasta	53580	500	129.823	113.767	0.51949	0.400728
Oryza_barthii_pi.10.6900001.7000000.fasta	49281	823	192.391	187.26	0.101092	0.391923
Oryza_barthii_pi.10.7000001.7100000.fasta	26644	436	100.852	99.2048	0.0610521	0.409544
Oryza_barthii_pi.10.700001.800000.fasta	84094	2971	761.825	676.003	0.469727	0.394954
Oryza_barthii_pi.10.7100001.7200000.fasta	28833	976	304.998	222.073	1.37865	0.471897
Oryza_barthii_pi.10.7200001.7300000.fasta	58712	1145	254.419	260.526	-0.0865907	0.430803
Oryza_barthii_pi.10.7300001.7400000.fasta	71471	1569	408.923	357.001	0.537625	0.410387
Oryza_barthii_pi.10.7400001.7500000.fasta	87686	1324	312.336	301.255	0.135923	0.415608
Oryza_barthii_pi.10.7500001.7600000.fasta	96418	1012	219.394	230.264	-0.17432	0.415498
Oryza_barthii_pi.10.7600001.7700000.fasta	76900	1123	258.724	255.521	0.0463074	0.410125
Oryza_barthii_pi.10.7700001.7800000.fasta	60260	1080	241.329	245.737	-0.0662483	0.432965
Oryza_barthii_pi.10.7800001.7900000.fasta	65975	1057	226.844	240.503	-0.209734	0.423589
Oryza_barthii_pi.10.7900001.8000000.fasta	77657	1487	370.756	338.343	0.354086	0.416947
Oryza_barthii_pi.10.8000001.8100000.fasta	85137	2562	731.234	582.942	0.941062	0.423939
Oryza_barthii_pi.10.800001.900000.fasta	76619	1686	305.719	383.622	-0.750762	0.412459
Oryza_barthii_pi.10.8100001.8200000.fasta	36380	471	113.681	107.169	0.22361	0.432494
Oryza_barthii_pi.10.8200001.8300000.fasta	42948	807	201.072	183.62	0.350682	0.444866
Oryza_barthii_pi.10.8300001.8400000.fasta	45850	745	162.318	169.513	-0.156551	0.424201
Oryza_barthii_pi.10.8400001.8500000.fasta	52572	755	173.498	171.788	0.0367182	0.406855
Oryza_barthii_pi.10.8500001.8600000.fasta	74546	1196	268.909	272.131	-0.0437373	0.441711
Oryza_barthii_pi.10.8600001.8700000.fasta	51083	879	189.837	200.002	-0.187582	0.444221
Oryza_barthii_pi.10.8700001.8800000.fasta	49828	1099	286.602	250.06	0.539722	0.431214
Oryza_barthii_pi.10.8800001.8900000.fasta	72223	1153	287.148	262.347	0.34921	0.413006
Oryza_barthii_pi.10.8900001.9000000.fasta	91784	1196	246.423	272.131	-0.34898	0.424478
Oryza_barthii_pi.10.9000001.9100000.fasta	71106	1068	247.419	243.006	0.0670686	0.422734
Oryza_barthii_pi.10.900001.1000000.fasta	71538	1614	395.245	367.24	0.281906	0.415432
Oryza_barthii_pi.10.9100001.9200000.fasta	86726	1566	386.416	356.318	0.312242	0.400496
Oryza_barthii_pi.10.9200001.9300000.fasta	59151	922	256.071	209.786	0.814424	0.441479
Oryza_barthii_pi.10.9300001.9400000.fasta	86863	2185	734.223	497.162	1.76359	0.445115
Oryza_barthii_pi.10.9400001.9500000.fasta	34960	576	161.251	131.06	0.848627	0.407312
Oryza_barthii_pi.10.9500001.9600000.fasta	77186	1910	656.829	434.59	1.89098	0.414628
Oryza_barthii_pi.10.9600001.9700000.fasta	66759	2579	750.675	586.81	1.03305	0.42385
Oryza_barthii_pi.10.9700001.9800000.fasta	78269	1369	299.253	311.494	-0.145228	0.428583
Oryza_barthii_pi.10.9800001.9900000.fasta	73807	1333	309.952	303.303	0.0810139	0.428266
Oryza_barthii_pi.10.9900001.10000000.fasta	95630	2356	525	536.07	-0.0763845	0.383726
Oryza_barthii_pi.1.10000001.10100000.fasta	65795	711	171.559	161.777	0.222997	0.445351
Oryza_barthii_pi.1.1000001.1100000.fasta	90422	669	155.903	152.22	0.0891901	0.423767
Oryza_barthii_pi.1.100001.200000.fasta	67651	808	159.255	183.847	-0.493538	0.423891
Oryza_barthii_pi.1.10100001.10200000.fasta	88297	973	263.549	221.391	0.703057	0.42855
Oryza_barthii_pi.1.10200001.10300000.fasta	85263	870	215.575	197.955	0.328503	0.43435
Oryza_barthii_pi.1.10300001.10400000.fasta	81867	1318	261.57	299.89	-0.472159	0.424456
Oryza_barthii_pi.1.10400001.10500000.fasta	74283	809	139.847	184.075	-0.886513	0.425347
Oryza_barthii_pi.1.10500001.10600000.fasta	84589	1058	222.227	240.731	-0.283868	0.452122
Oryza_barthii_pi.1.10600001.10700000.fasta	91741	1019	231.251	231.857	-0.00965831	0.412368
Oryza_barthii_pi.1.10700001.10800000.fasta	55977	548	125.475	124.689	0.0232301	0.423258
Oryza_barthii_pi.1.10800001.10900000.fasta	72661	701	177.112	159.501	0.407132	0.432254
Oryza_barthii_pi.1.10900001.11000000.fasta	93166	1154	270.474	262.574	0.111135	0.432211
Oryza_barthii_pi.11.10000001.10100000.fasta	87718	1269	297.8	288.741	0.115931	0.396967
Oryza_barthii_pi.11.1000001.1100000.fasta	80692	1823	576.38	414.794	1.4404	0.429213
Oryza_barthii_pi.1.11000001.11100000.fasta	93300	988	209.425	224.804	-0.252577	0.410818
Oryza_barthii_pi.1.1.100000.fasta	91667	824	162.65	187.488	-0.488819	0.445316
Oryza_barthii_pi.1.1100001.1200000.fasta	94634	914	227.925	207.966	0.354258	0.420476
Oryza_barthii_pi.11.100001.200000.fasta	88441	1474	434.313	335.385	1.09022	0.431697
Oryza_barthii_pi.11.10100001.10200000.fasta	89390	1659	330.068	377.479	-0.464327	0.42902
Oryza_barthii_pi.11.10200001.10300000.fasta	79740	1409	225.293	320.595	-1.0986	0.399872
Oryza_barthii_pi.11.10300001.10400000.fasta	92956	1095	218.19	249.15	-0.458943	0.415023
Oryza_barthii_pi.11.10400001.10500000.fasta	73622	1165	300.297	265.077	0.490807	0.407821
Oryza_barthii_pi.11.10500001.10600000.fasta	81945	930	221.521	211.607	0.172948	0.397564
Oryza_barthii_pi.11.10600001.10700000.fasta	92863	1505	366.384	342.439	0.25846	0.428245
Oryza_barthii_pi.11.10700001.10800000.fasta	94750	730	191.258	166.1	0.558617	0.387286
Oryza_barthii_pi.11.10800001.10900000.fasta	83733	919	237.46	209.104	0.500577	0.420821
Oryza_barthii_pi.11.10900001.11000000.fasta	90374	939	229.285	213.654	0.270074	0.429432
Oryza_barthii_pi.11.11000001.11100000.fasta	94575	1007	178.863	229.127	-0.810008	0.399072
Oryza_barthii_pi.11.1.100000.fasta	58795	189	58.6315	43.0039	1.32419	0.422828
Oryza_barthii_pi.1.11100001.11200000.fasta	82105	1058	215.769	240.731	-0.382934	0.410883
Oryza_barthii_pi.11.1100001.1200000.fasta	79003	894	217.777	203.415	0.260595	0.433388
Oryza_barthii_pi.11.11100001.11200000.fasta	84425	1219	250.946	277.364	-0.351878	0.423879
Oryza_barthii_pi.11.11200001.11300000.fasta	81750	1036	207.459	235.725	-0.442804	0.425094
Oryza_barthii_pi.11.11300001.11400000.fasta	93038	1261	267.119	286.92	-0.254981	0.41853
Oryza_barthii_pi.11.11400001.11500000.fasta	86693	1570	375.468	357.228	0.188735	0.43955
Oryza_barthii_pi.11.11500001.11600000.fasta	90100	1179	228.236	268.263	-0.551182	0.41985
Oryza_barthii_pi.11.11600001.11700000.fasta	76279	1447	326.497	329.242	-0.0308132	0.428193
Oryza_barthii_pi.11.11700001.11800000.fasta	81156	877	169.897	199.547	-0.548398	0.422042
Oryza_barthii_pi.11.11800001.11900000.fasta	76245	1479	377.341	336.523	0.448313	0.420369
Oryza_barthii_pi.11.11900001.12000000.fasta	88529	968	221.81	220.253	0.026097	0.421703
Oryza_barthii_pi.11.12000001.12100000.fasta	34222	336	76.7768	76.4514	0.0156205	0.422281
Oryza_barthii_pi.1.11200001.11300000.fasta	85436	895	210.46	203.643	0.123555	0.407621
Oryza_barthii_pi.11.1200001.1300000.fasta	86026	1293	371.982	294.201	0.976857	0.408589
Oryza_barthii_pi.11.12100001.12200000.fasta	19065	81	18.1223	18.4303	-0.0596307	0.412192
Oryza_barthii_pi.11.12200001.12300000.fasta	10962	103	17.2946	23.436	-0.942335	0.41475
Oryza_barthii_pi.11.12300001.12400000.fasta	8656	11	1.73389	2.50287	-0.908157	0.409708
Oryza_barthii_pi.11.12400001.12500000.fasta	0	0	0	0	-999	-nan
